antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Businesstravel Travel Rarely,Jobinvolvement 3,Educationfield Life Sciences",Attrition No,0.17346938775510204,0.8387755102040816,0.15374149659863945,0.8862745098039215,1.0566289776251132,0.008239622379564077,1.4176636171710062
"Gender Female,Maritalstatus Married",Attrition No,0.18503401360544217,0.8387755102040816,0.16394557823129252,0.886029411764706,1.056336768283956,0.008743579064278806,1.4146148782093495
"Maritalstatus Divorced,Gender Male",Attrition No,0.14285714285714285,0.8387755102040816,0.12653061224489795,0.8857142857142857,1.0559610705596107,0.00670553935860059,1.4107142857142856
"Distancefromhome Range <=2,Department Research & Development,Hourlyrate Range <=48",Attrition No,0.19047619047619047,0.8387755102040816,0.16870748299319727,0.8857142857142857,1.0559610705596107,0.008940719144800796,1.4107142857142856
"Distancefromhome Range <=2,Department Research & Development",Attrition No,0.19047619047619047,0.8387755102040816,0.16870748299319727,0.8857142857142857,1.0559610705596107,0.008940719144800796,1.4107142857142856
"Department Research & Development,Hourlyrate Range <=48",Attrition No,0.19047619047619047,0.8387755102040816,0.16870748299319727,0.8857142857142857,1.0559610705596107,0.008940719144800796,1.4107142857142856
"Businesstravel Travel Rarely,Department Research & Development,Educationfield Life Sciences",Attrition No,0.20816326530612245,0.8387755102040816,0.18435374149659864,0.8856209150326797,1.0558497527153603,0.009751492433708181,1.4095626822157434
"Businesstravel Travel Rarely,Department Research & Development,Age Range >30 <=36",Attrition No,0.11836734693877551,0.8387755102040816,0.10476190476190476,0.8850574712643678,1.0551780071035044,0.005478272941829801,1.4026530612244905
"Businesstravel Travel Rarely,Department Research & Development,Environmentsatisfaction 3",Attrition No,0.1360544217687075,0.8387755102040816,0.12040816326530612,0.8849999999999999,1.0551094890510948,0.006289046230737186,1.401952085181898
"Department Research & Development,Gender Male,Maritalstatus Married",Attrition No,0.18095238095238095,0.8387755102040816,0.1598639455782313,0.8834586466165414,1.0532718657958766,0.008085519922254647,1.3834101382488486
"Businesstravel Travel Rarely,Department Research & Development,Maritalstatus Married",Attrition No,0.22108843537414966,0.8387755102040816,0.19523809523809524,0.8830769230769231,1.0528167696050907,0.009794530056920742,1.3788936627282498
"Education 3,Environmentsatisfaction 4",Attrition No,0.12176870748299319,0.8387755102040816,0.10748299319727891,0.8826815642458101,1.052345417227365,0.00534638345133974,1.3742468415937816
"Businesstravel Travel Rarely,Department Research & Development,Environmentsatisfaction 4",Attrition No,0.15034013605442176,0.8387755102040816,0.1326530612244898,0.8823529411764707,1.0519536281665953,0.006551436901291147,1.3704081632653076
"Businesstravel Travel Rarely,Department Research & Development,Hourlyrate Range <=48",Attrition No,0.1326530612244898,0.8387755102040816,0.11700680272108843,0.8820512820512819,1.0515939859005552,0.00574066361238372,1.3669032830523502
"Businesstravel Travel Rarely,Department Research & Development,Distancefromhome Range <=2",Attrition No,0.1326530612244898,0.8387755102040816,0.11700680272108843,0.8820512820512819,1.0515939859005552,0.00574066361238372,1.3669032830523502
"Maritalstatus Married,Age Range >43",Attrition No,0.12108843537414966,0.8387755102040816,0.10680272108843537,0.8820224719101123,1.0515596380436862,0.0052367069276690326,1.3665694849368315
"Maritalstatus Married,Education 3",Attrition No,0.17210884353741496,0.8387755102040816,0.15170068027210884,0.8814229249011858,1.0508448496388834,0.007339997223379163,1.3596598639455788
"Maritalstatus Married,Age Range >30 <=36",Attrition No,0.13129251700680272,0.8387755102040816,0.11564625850340136,0.8808290155440415,1.0501367825220933,0.005521310565042348,1.352883762200533
"Jobinvolvement 3,Age Range >43",Attrition No,0.14761904761904762,0.8387755102040816,0.12993197278911564,0.880184331797235,1.0493681814614237,0.00611273080660836,1.3456043956043955
"Joblevel 2,Age Range >30 <=36",Attrition No,0.12993197278911564,0.8387755102040816,0.11428571428571428,0.8795811518324608,1.0486490617953912,0.0053019575177009615,1.3388642413487142
"Department Research & Development,Gender Male,Environmentsatisfaction 4",Attrition No,0.12993197278911564,0.8387755102040816,0.11428571428571428,0.8795811518324608,1.0486490617953912,0.0053019575177009615,1.3388642413487142
"Maritalstatus Married,Jobinvolvement 3,Gender Male",Attrition No,0.15782312925170067,0.8387755102040816,0.13877551020408163,0.8793103448275863,1.0483262018625725,0.006397334443981689,1.3358600583090392
"Gender Female,Environmentsatisfaction 4",Attrition No,0.11836734693877551,0.8387755102040816,0.10408163265306122,0.8793103448275862,1.0483262018625723,0.00479800083298626,1.335860058309038
Age Range >43,Attrition No,0.23605442176870747,0.8387755102040816,0.20748299319727892,0.8789625360230549,1.0479115392975593,0.009486325142301855,1.3320213799805651
"Businesstravel Travel Rarely,Gender Female,Maritalstatus Married",Attrition No,0.13945578231292516,0.8387755102040816,0.12244897959183673,0.8780487804878049,1.0468221470535874,0.005476884631403597,1.322040816326531
"Businesstravel Travel Rarely,Maritalstatus Married,Jobinvolvement 3",Attrition No,0.19523809523809524,0.8387755102040816,0.17142857142857143,0.8780487804878049,1.0468221470535874,0.007667638483965011,1.322040816326531
"Businesstravel Travel Rarely,Environmentsatisfaction 3",Attrition No,0.21496598639455783,0.8387755102040816,0.18843537414965986,0.8765822784810126,1.0450737626659274,0.008127169235040949,1.3063317634746199
"Businesstravel Travel Rarely,Distancefromhome Range >2 <=7",Attrition No,0.1816326530612245,0.8387755102040816,0.15918367346938775,0.8764044943820224,1.044861805954236,0.0068346522282382305,1.3044526901669755
"Businesstravel Travel Rarely,Hourlyrate Range >48 >=66",Attrition No,0.1816326530612245,0.8387755102040816,0.15918367346938775,0.8764044943820224,1.044861805954236,0.0068346522282382305,1.3044526901669755
"Businesstravel Travel Rarely,Distancefromhome Range >2 <=7,Hourlyrate Range >48 >=66",Attrition No,0.1816326530612245,0.8387755102040816,0.15918367346938775,0.8764044943820224,1.044861805954236,0.0068346522282382305,1.3044526901669755
"Jobsatisfaction 4,Gender Male",Attrition No,0.19659863945578232,0.8387755102040816,0.17210884353741496,0.875432525951557,1.0437030114750923,0.0072067194224628706,1.2942743764172326
Maritalstatus Married,Attrition No,0.45782312925170066,0.8387755102040816,0.40068027210884355,0.8751857355126301,1.0434087844311162,0.016669443287519126,1.2917152575315856
"Businesstravel Travel Rarely,Maritalstatus Married",Attrition No,0.33741496598639453,0.8387755102040816,0.29523809523809524,0.8750000000000001,1.0431873479318736,0.012222684992364341,1.2897959183673484
"Jobinvolvement 3,Educationfield Life Sciences,Gender Male",Attrition No,0.1469387755102041,0.8387755102040816,0.12857142857142856,0.8749999999999999,1.0431873479318734,0.005322782174094112,1.2897959183673462
"Maritalstatus Married,Jobinvolvement 3",Attrition No,0.26598639455782314,0.8387755102040816,0.23265306122448978,0.8746803069053708,1.0428062053129725,0.009550187421907524,1.286505622657226
"Education 4,Department Research & Development",Attrition No,0.17346938775510204,0.8387755102040816,0.15170068027210884,0.8745098039215686,1.0426029292495587,0.006198806053033468,1.2847576530612248
"Department Research & Development,Jobinvolvement 3,Educationfield Life Sciences",Attrition No,0.17346938775510204,0.8387755102040816,0.15170068027210884,0.8745098039215686,1.0426029292495587,0.006198806053033468,1.2847576530612248
"Jobinvolvement 3,Educationfield Life Sciences",Attrition No,0.24353741496598638,0.8387755102040816,0.21292517006802722,0.8743016759776537,1.0423547961777382,0.00865195057614887,1.2826303854875298
"Businesstravel Travel Rarely,Gender Female,Educationfield Life Sciences",Attrition No,0.11904761904761904,0.8387755102040816,0.10408163265306122,0.8742857142857143,1.0423357664233577,0.004227405247813426,1.2824675324675332
"Maritalstatus Married,Jobinvolvement 2",Attrition No,0.11904761904761904,0.8387755102040816,0.10408163265306122,0.8742857142857143,1.0423357664233577,0.004227405247813426,1.2824675324675332
"Businesstravel Travel Rarely,Educationfield Life Sciences",Attrition No,0.2857142857142857,0.8387755102040816,0.24965986394557824,0.8738095238095239,1.0417680454176808,0.010009718172983517,1.277628032345015
"Education 4,Maritalstatus Married",Attrition No,0.12380952380952381,0.8387755102040816,0.10816326530612246,0.8736263736263736,1.0415496911847277,0.004314868804664737,1.2757763975155283
